iter	Accuracy	MultiClass
0	0.3422961471	1.098545648
1	0.3480324162	1.098461648
2	0.358130278	1.098345433
3	0.3629250478	1.098127133
4	0.3625357548	1.097958589
5	0.3666363714	1.097673057
6	0.369397015	1.097480333
7	0.3659141162	1.097251483
8	0.3670887807	1.0969836
9	0.369133291	1.096776977
10	0.3764868084	1.096401977
11	0.3739196151	1.096111932
12	0.3779799885	1.095746957
13	0.3802008436	1.09550119
14	0.3800725883	1.095287565
15	0.3836400661	1.094986492
16	0.3881116739	1.09456193
17	0.3874935453	1.09425695
18	0.3906396027	1.093865797
19	0.3913571689	1.093579453
20	0.3939911079	1.093293852
21	0.3969091413	1.092961289
22	0.4003354932	1.092436037
23	0.4016578707	1.092139796
24	0.4018442967	1.091919718
25	0.4026931081	1.091639334
26	0.405064995	1.091280691
27	0.4077231165	1.090862312
28	0.4076511649	1.090723165
29	0.4076136604	1.090462601
30	0.4084925676	1.090287625
31	0.4077648628	1.090117148
32	0.4091964333	1.089823835
33	0.4090066235	1.089654586
34	0.4100957032	1.089498935
35	0.4098024524	1.089239901
36	0.4099854571	1.089050183
37	0.4100544838	1.088936786
38	0.4101384815	1.088755173
39	0.4122771034	1.088434794
40	0.4128498716	1.088240997
41	0.4134562968	1.087984096
42	0.4138186867	1.087846693
43	0.4146002689	1.087645497
44	0.4164627925	1.087426427
45	0.415624235	1.087193156
46	0.416749466	1.087017477
47	0.4178287828	1.086851273
48	0.417612785	1.086693317
49	0.4180481668	1.08643061
50	0.4190240204	1.086405241
51	0.4186952026	1.086107522
52	0.4195069379	1.085942272
53	0.4197980731	1.085703075
54	0.41796941	1.085522616
55	0.4190865876	1.085298001
56	0.4199875945	1.085130642
57	0.421295597	1.084861435
58	0.42100371	1.084840236
59	0.4187907026	1.08453575
60	0.4203228114	1.084281653
61	0.4216875886	1.084129586
62	0.4215994751	1.083972585
63	0.4210409589	1.083756746
64	0.4221909239	1.083547701
65	0.4227091782	1.083382221
66	0.4239271848	1.083173237
67	0.423284147	1.082989883
68	0.4234073089	1.082771641
69	0.4240353703	1.082645411
70	0.4232635235	1.082488662
71	0.4243058544	1.082315376
72	0.4244888591	1.082103006
73	0.4248724515	1.081886224
74	0.4258572557	1.081727923
75	0.426659489	1.081509277
76	0.4258632815	1.081350923
77	0.4257920542	1.081144227
78	0.4252102803	1.080858129
79	0.4267485601	1.080703157
80	0.4268182507	1.080545956
81	0.4252081922	1.080343986
82	0.4281060083	1.080133498
83	0.4288757999	1.080043411
84	0.4278962091	1.079915529
85	0.4285628832	1.079738619
86	0.4271346713	1.079592093
87	0.4265317501	1.07949466
88	0.4284211531	1.079217223
89	0.4282462294	1.079090394
90	0.4277340283	1.078909547
91	0.4295713513	1.078666109
92	0.4289622039	1.07846076
93	0.4306142613	1.078246357
94	0.4309358104	1.078103079
95	0.4324073245	1.077973358
96	0.431873748	1.077760281
97	0.4326067817	1.077584988
98	0.4324810131	1.077361407
99	0.4327597786	1.077220258
100	0.43351025	1.077031569
101	0.4339909342	1.076820326
102	0.433904703	1.076665364
103	0.4346395916	1.076540808
104	0.4358960655	1.076296826
105	0.4369412639	1.076226494
106	0.4361122361	1.076045496
107	0.435479307	1.075773174
108	0.4358021595	1.075581565
109	0.4356909886	1.075453234
