iter	Passed	Remaining
0	44	44188
1	98	49248
2	138	46138
3	174	43417
4	205	40805
5	248	41222
6	301	42811
7	338	41917
8	373	41095
9	411	40711
10	448	40363
11	483	39839
12	518	39358
13	554	39059
14	588	38674
15	619	38113
16	650	37591
17	682	37208
18	715	36954
19	750	36764
20	800	37337
21	850	37821
22	894	38013
23	951	38692
24	1008	39345
25	1065	39914
26	1114	40147
27	1160	40284
28	1207	40437
29	1249	40384
30	1284	40152
31	1317	39867
32	1350	39579
33	1382	39289
34	1415	39018
35	1449	38806
36	1481	38570
37	1513	38327
38	1549	38181
39	1582	37971
40	1613	37750
41	1650	37650
42	1707	38007
43	1746	37947
44	1782	37829
45	1818	37715
46	1853	37582
47	1889	37472
48	1924	37347
49	1956	37178
50	1977	36798
51	2015	36748
52	2054	36702
53	2086	36550
54	2119	36409
55	2150	36253
56	2182	36109
57	2216	36006
58	2233	35621
59	2269	35559
60	2305	35483
61	2338	35385
62	2373	35307
63	2416	35340
64	2458	35366
65	2490	35238
66	2527	35194
67	2562	35127
68	2597	35049
69	2628	34915
70	2659	34797
71	2689	34669
72	2722	34572
73	2755	34485
74	2788	34390
75	2823	34325
76	2857	34247
77	2892	34188
78	2924	34089
79	2953	33969
80	2986	33889
81	3032	33948
82	3075	33983
83	3108	33902
84	3146	33873
85	3184	33843
86	3214	33731
87	3246	33646
88	3278	33562
89	3313	33500
90	3345	33419
91	3379	33351
92	3407	33236
93	3440	33157
94	3474	33096
95	3507	33032
96	3540	32957
97	3572	32882
98	3603	32798
99	3636	32724
100	3670	32669
101	3700	32576
102	3732	32508
103	3764	32435
104	3796	32360
105	3831	32312
106	3860	32219
107	3895	32177
108	3947	32268
109	3983	32232
110	4023	32224
111	4059	32188
112	4092	32126
113	4125	32066
114	4157	31995
115	4187	31910
116	4217	31833
117	4249	31762
118	4281	31696
119	4312	31624
120	4344	31558
121	4377	31506
122	4409	31439
123	4442	31383
124	4473	31313
125	4503	31239
126	4534	31170
127	4564	31095
128	4596	31033
129	4630	30988
130	4668	30966
131	4703	30929
132	4734	30862
133	4762	30778
134	4795	30728
135	4826	30663
136	4859	30610
137	4891	30551
138	4923	30497
139	4956	30447
140	4997	30445
141	5041	30460
142	5077	30431
143	5109	30373
144	5137	30296
145	5169	30238
146	5202	30188
147	5233	30126
148	5262	30056
149	5294	29999
150	5323	29933
151	5354	29875
152	5390	29843
153	5428	29822
154	5464	29791
155	5496	29737
156	5527	29679
157	5574	29709
158	5608	29662
159	5638	29600
160	5671	29557
161	5706	29516
162	5738	29468
163	5770	29413
164	5803	29369
165	5844	29363
166	5899	29426
167	5940	29419
168	5978	29398
169	6023	29407
170	6061	29386
171	6099	29361
172	6141	29360
173	6178	29328
174	6218	29314
175	6250	29264
176	6286	29228
177	6320	29186
178	6358	29161
179	6395	29135
180	6432	29107
181	6470	29082
182	6511	29070
183	6551	29055
184	6595	29054
185	6628	29010
186	6663	28970
187	6694	28915
188	6725	28861
189	6757	28806
190	6789	28758
191	6823	28715
192	6853	28658
193	6895	28648
194	6931	28616
195	6964	28567
196	7006	28558
197	7039	28515
198	7079	28497
199	7111	28446
200	7143	28394
201	7172	28336
202	7203	28281
203	7232	28219
204	7263	28168
205	7295	28119
206	7329	28077
207	7363	28039
208	7412	28055
209	7445	28009
210	7474	27949
211	7504	27894
212	7535	27842
213	7568	27797
214	7597	27741
215	7641	27736
216	7678	27707
217	7713	27668
218	7745	27622
219	7777	27574
220	7809	27528
221	7841	27481
222	7874	27437
223	7906	27389
224	7936	27336
225	7975	27312
226	8015	27294
227	8047	27249
228	8077	27197
229	8113	27162
230	8146	27118
231	8176	27065
232	8205	27011
233	8238	26967
234	8287	26978
235	8324	26949
236	8363	26924
237	8409	26924
238	8449	26903
239	8484	26866
240	8523	26842
241	8559	26811
242	8595	26777
243	8631	26743
244	8666	26707
245	8700	26666
246	8736	26633
247	8771	26597
248	8807	26563
249	8838	26516
250	8871	26472
251	8904	26430
252	8937	26389
253	8976	26364
254	9016	26341
255	9056	26320
256	9101	26312
257	9146	26303
258	9184	26277
259	9227	26262
260	9265	26233
261	9301	26201
262	9336	26164
263	9371	26125
264	9412	26107
265	9449	26074
266	9485	26040
267	9517	25995
268	9555	25965
269	9589	25926
270	9629	25903
271	9668	25877
272	9704	25841
273	9740	25807
274	9773	25767
275	9807	25726
276	9841	25686
277	9881	25662
278	9920	25636
279	9962	25616
280	10004	25599
281	10050	25589
282	10092	25570
283	10132	25546
284	10170	25514
285	10205	25478
286	10246	25455
287	10286	25431
288	10322	25395
289	10360	25364
290	10395	25327
291	10431	25292
292	10464	25251
293	10495	25203
294	10527	25159
295	10560	25117
296	10593	25073
297	10633	25050
298	10670	25015
299	10702	24971
300	10729	24916
301	10762	24873
302	10790	24822
303	10823	24779
304	10854	24733
305	10885	24686
306	10916	24642
307	10965	24635
308	11007	24614
309	11044	24583
310	11085	24560
311	11117	24516
312	11149	24472
313	11180	24426
314	11211	24380
315	11244	24340
316	11277	24298
317	11308	24253
318	11346	24223
319	11385	24194
320	11421	24158
321	11454	24119
322	11486	24076
323	11515	24025
324	11543	23974
325	11575	23931
326	11608	23891
327	11639	23846
328	11670	23802
329	11698	23752
330	11729	23706
331	11761	23665
332	11797	23631
333	11834	23597
334	11871	23565
335	11903	23523
336	11936	23483
337	11980	23465
338	12020	23438
339	12055	23402
340	12096	23377
341	12138	23354
342	12178	23327
343	12221	23306
344	12263	23283
345	12308	23265
346	12348	23237
347	12388	23209
348	12426	23180
349	12477	23171
350	12523	23155
351	12567	23136
352	12610	23113
353	12645	23076
354	12679	23036
355	12708	22989
356	12740	22947
357	12774	22907
358	12809	22871
359	12842	22830
360	12880	22799
361	12916	22764
362	12961	22744
363	12996	22708
364	13028	22665
365	13059	22622
366	13094	22585
367	13126	22544
368	13158	22500
369	13189	22458
370	13219	22411
371	13251	22370
372	13283	22328
373	13308	22276
374	13339	22231
375	13370	22190
376	13401	22146
377	13432	22103
378	13463	22059
379	13493	22016
380	13523	21971
381	13555	21930
382	13599	21908
383	13639	21880
384	13673	21842
385	13705	21800
386	13741	21766
387	13791	21753
388	13827	21718
389	13856	21673
390	13885	21627
391	13917	21586
392	13948	21543
393	13978	21500
394	14011	21461
395	14040	21415
396	14072	21375
397	14104	21334
398	14132	21287
399	14165	21248
400	14199	21210
401	14234	21174
402	14266	21134
403	14298	21094
404	14340	21067
405	14381	21041
406	14419	21008
407	14469	20995
